fold,set,accuracy,f1,tpr,tnr,gmean,auc,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir,model,dimred,clf__penalty,clf__C,clf__solver,clf__class_weight,clf__gamma,clf__estimator__C,clf__estimator__class_weight,clf__n_estimators,clf__max_depth,clf__min_samples_split,clf__min_samples_leaf,clf__max_features,clf__learning_rate,clf__subsample,clf__n_neighbors,clf__weights,clf__p
1,val,0.52,0.45454545454545453,0.4166666666666667,0.6153846153846154,0.5063696835418333,0.41666666666666663,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,LogisticRegression,none,l2,1.0,liblinear,,,,,,,,,,,,,,
1,train,0.79,0.7835051546391752,0.8085106382978723,0.7735849056603774,0.7908549967301661,0.8908069048574869,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,LogisticRegression,none,l2,1.0,liblinear,balanced,,,,,,,,,,,,,
1,val,0.52,0.45454545454545453,0.4166666666666667,0.6153846153846154,0.5063696835418333,0.41025641025641024,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,LogisticRegression,none,l2,1.0,liblinear,balanced,,,,,,,,,,,,,
1,train,0.81,0.7956989247311828,0.7872340425531915,0.8301886792452831,0.8084261191006628,0.8948213568847851,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,LogisticRegression,none,l2,10.0,lbfgs,,,,,,,,,,,,,,
1,val,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,0.41666666666666663,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,LogisticRegression,none,l2,10.0,lbfgs,,,,,,,,,,,,,,
1,train,0.79,0.7835051546391752,0.8085106382978723,0.7735849056603774,0.7908549967301661,0.8940184664793256,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,LogisticRegression,none,l2,10.0,lbfgs,balanced,,,,,,,,,,,,,
1,val,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,0.41666666666666663,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,LogisticRegression,none,l2,10.0,lbfgs,balanced,,,,,,,,,,,,,
1,train,0.81,0.7956989247311828,0.7872340425531915,0.8301886792452831,0.8084261191006628,0.8948213568847851,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,LogisticRegression,none,l2,10.0,liblinear,,,,,,,,,,,,,,
1,val,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,0.40384615384615385,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,LogisticRegression,none,l2,10.0,liblinear,,,,,,,,,,,,,,
1,train,0.79,0.7835051546391752,0.8085106382978723,0.7735849056603774,0.7908549967301661,0.8940184664793256,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,LogisticRegression,none,l2,10.0,liblinear,balanced,,,,,,,,,,,,,
1,val,0.48,0.43478260869565216,0.4166666666666667,0.5384615384615384,0.47366546671567095,0.39743589743589747,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,LogisticRegression,none,l2,10.0,liblinear,balanced,,,,,,,,,,,,,
1,train,0.53,0.0,0.0,1.0,0.0,0.1483340024086712,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,0.1,,,scale,,,,,,,,,,,,
1,val,0.52,0.0,0.0,1.0,0.0,0.5705128205128205,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,0.1,,,scale,,,,,,,,,,,,
1,train,0.53,0.0,0.0,1.0,0.0,0.1641910879164994,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,0.1,,balanced,scale,,,,,,,,,,,,
1,val,0.52,0.0,0.0,1.0,0.0,0.6025641025641026,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,0.1,,balanced,scale,,,,,,,,,,,,
1,train,0.53,0.0,0.0,1.0,0.0,0.15234845443596948,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,0.1,,,auto,,,,,,,,,,,,
1,val,0.52,0.0,0.0,1.0,0.0,0.5576923076923077,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,0.1,,,auto,,,,,,,,,,,,
1,train,0.53,0.0,0.0,1.0,0.0,0.16659975913287833,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,0.1,,balanced,auto,,,,,,,,,,,,
1,val,0.52,0.0,0.0,1.0,0.0,0.6153846153846154,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,0.1,,balanced,auto,,,,,,,,,,,,
1,train,0.78,0.7555555555555555,0.723404255319149,0.8301886792452831,0.7749593687954368,0.8831794460056203,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,1.0,,,scale,,,,,,,,,,,,
1,val,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,0.4294871794871795,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,1.0,,,scale,,,,,,,,,,,,
1,train,0.76,0.7647058823529411,0.8297872340425532,0.6981132075471698,0.7611080261954546,0.8894018466479325,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,1.0,,balanced,scale,,,,,,,,,,,,
1,val,0.48,0.38095238095238093,0.3333333333333333,0.6153846153846154,0.4529108136578383,0.3782051282051282,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,1.0,,balanced,scale,,,,,,,,,,,,
1,train,0.77,0.7415730337078652,0.7021276595744681,0.8301886792452831,0.7634778545339147,0.8797671617824168,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,1.0,,,auto,,,,,,,,,,,,
1,val,0.52,0.4,0.3333333333333333,0.6923076923076923,0.48038446141526137,0.41025641025641024,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,1.0,,,auto,,,,,,,,,,,,
1,train,0.75,0.7572815533980582,0.8297872340425532,0.6792452830188679,0.7507523324190726,0.8867924528301887,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,1.0,,balanced,auto,,,,,,,,,,,,
1,val,0.44,0.36363636363636365,0.3333333333333333,0.5384615384615384,0.4236592728681617,0.3717948717948718,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,1.0,,balanced,auto,,,,,,,,,,,,
1,train,0.86,0.8444444444444444,0.8085106382978723,0.9056603773584906,0.8557079231719227,0.9020473705339221,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,10.0,,,scale,,,,,,,,,,,,
1,val,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,0.5384615384615384,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,10.0,,,scale,,,,,,,,,,,,
1,train,0.84,0.8297872340425532,0.8297872340425532,0.8490566037735849,0.8393666247777827,0.9144921718185469,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,10.0,,balanced,scale,,,,,,,,,,,,
1,val,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,0.5384615384615384,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,10.0,,balanced,scale,,,,,,,,,,,,
1,train,0.84,0.8260869565217391,0.8085106382978723,0.8679245283018868,0.8376910017254203,0.9008430349257327,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,10.0,,,auto,,,,,,,,,,,,
1,val,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,0.5448717948717948,,,,,42,/mnt/homeGPU/mcribilles/tfm/volumenes_preprocesados/resize_medium/nifti,SVC_RBF,none,,10.0,,,auto,,,,,,,,,,,,
