fold,set,accuracy,f1,tpr,tnr,gmean,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
MEAN,VALIDATION,0.6799999999999999,0.6606990622335891,0.6977777777777777,0.6654545454545454,0.6644311357884105,4,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
MEAN,TEST,0.616,0.5269978014088931,0.509090909090909,0.7098901098901099,0.5769245624721268,4,0.001,0.0,0.5,8,resize_small_hu_m300_1400_separadas
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
1,TEST,0.64,0.64,0.6666666666666666,0.6153846153846154,0.6405126152203485,4,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,4,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
2,TEST,0.6,0.5833333333333334,0.5833333333333334,0.6153846153846154,0.5991446895152781,4,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.75,0.7058823529411765,0.6666666666666666,0.8181818181818182,0.7385489458759964,4,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
3,TEST,0.6,0.5454545454545454,0.5,0.6923076923076923,0.5883484054145521,4,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.6,0.5555555555555556,0.5555555555555556,0.6363636363636364,0.5945883900105632,4,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
4,TEST,0.52,0.5,0.5,0.5384615384615384,0.5188745216627708,4,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.7,0.7272727272727273,0.8,0.6,0.6928203230275509,4,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
5,TEST,0.68,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.674199862463242,4,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.71,0.697491500587476,0.7377777777777776,0.6836363636363637,0.7060321050189641,4,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
MEAN,TEST,0.608,0.581030303030303,0.5772727272727273,0.6351648351648352,0.6042160188552383,4,0.001,1e-05,0.0,8,resize_small_hu_m300_1400_separadas
1,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
1,TEST,0.68,0.7142857142857143,0.8333333333333334,0.5384615384615384,0.6698641270570836,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
2,TEST,0.44,0.4166666666666667,0.4166666666666667,0.46153846153846156,0.4385290096535146,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
