fold,set,accuracy,f1,tpr,tnr,gmean,auc,batch_size,learning_rate,weight_decay,dropout_prob,seed,preprocessed_dir
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,0.7777777777777778,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
1,TEST,0.56,0.47619047619047616,0.4166666666666667,0.6923076923076923,0.5370861555295747,0.5769230769230769,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.6,0.6363636363636364,0.7777777777777778,0.45454545454545453,0.5945883900105632,0.5353535353535354,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
2,TEST,0.52,0.5,0.5,0.5384615384615384,0.5188745216627708,0.5192307692307693,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.75,0.7368421052631579,0.7777777777777778,0.7272727272727273,0.7521014330903549,0.6161616161616161,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
3,TEST,0.6,0.6666666666666666,0.8333333333333334,0.38461538461538464,0.5661385170722979,0.5064102564102564,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.65,0.631578947368421,0.6666666666666666,0.6363636363636364,0.6513389472789296,0.5555555555555555,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
4,TEST,0.64,0.4,0.25,1.0,0.5,0.7756410256410258,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.75,0.7619047619047619,0.8,0.7,0.7483314773547882,0.73,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
5,TEST,0.84,0.8333333333333334,0.9090909090909091,0.7857142857142857,0.8451542547285166,0.8896103896103895,4,0.001,0,0.5,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.71,0.7133378901799954,0.7822222222222222,0.649090909090909,0.7100780999884011,0.642969696969697,4,0.001,8
MEAN,TEST,0.632,0.5752380952380952,0.5818181818181818,0.6802197802197802,0.593450689798632,0.6535631035631037,4,0.001,8
1,VALIDATION,0.75,0.7619047619047619,0.8888888888888888,0.6363636363636364,0.7521014330903549,0.7878787878787878,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
1,TEST,0.6,0.5454545454545454,0.5,0.6923076923076923,0.5883484054145521,0.5512820512820513,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
2,VALIDATION,0.5,0.5,0.5555555555555556,0.45454545454545453,0.502518907629606,0.45454545454545453,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
2,TEST,0.52,0.5,0.5,0.5384615384615384,0.5188745216627708,0.46794871794871795,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
3,VALIDATION,0.7,0.7,0.7777777777777778,0.6363636363636364,0.7035264706814485,0.6565656565656566,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
3,TEST,0.56,0.6206896551724138,0.75,0.38461538461538464,0.5370861555295747,0.5256410256410255,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
4,VALIDATION,0.65,0.6666666666666666,0.7777777777777778,0.5454545454545454,0.6513389472789296,0.6262626262626263,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
4,TEST,0.68,0.7142857142857143,0.8333333333333334,0.5384615384615384,0.6698641270570836,0.6794871794871795,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
5,VALIDATION,0.75,0.782608695652174,0.9,0.6,0.7348469228349535,0.75,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
5,TEST,0.72,0.7407407407407407,0.9090909090909091,0.5714285714285714,0.7207499701564472,0.6883116883116883,4,0.001,1e-05,0,8,resize_small_hu_m300_1400_separadas
MEAN,VALIDATION,0.67,0.6822360248447205,0.78,0.5745454545454545,0.6688665363030585,0.655050505050505,4,0.001,8
MEAN,TEST,0.616,0.6242341311306829,0.6984848484848485,0.5450549450549451,0.6069846359640858,0.5825341325341326,4,0.001,8
1,VALIDATION,0.8,0.8,0.8888888888888888,0.7272727272727273,0.8040302522073697,0.797979797979798,4,0.001,1e-05,0.3,8,resize_small_hu_m300_1400_separadas
